Borough,Neighborhood,latitude,longitude
Andheri,Amboli,19.1279315,72.8477355
Andheri,Chakala,19.1152873,72.8618085
Andheri,D.N. Nagar,19.12829205,72.83019336
Andheri,Four Bungalows,19.1287942,72.8255543
Andheri,JB Nagar,19.1111,72.8656
Andheri,Lokhandwala,19.1431889,72.824081
Andheri,Marol,19.1172198,72.882342
Andheri,Model Town,19.1841024,72.9437657
Andheri,Oshiwara,19.1502437,72.8342294
Andheri,Poonam Nagar,19.1369178,72.869128
Andheri,Sahar,19.0995955,72.867284
Andheri,Saki Naka,19.1082208,72.8835824
Andheri,Seven Bungalows,19.1297617,72.8213781
Andheri,Versova,19.13025205,72.8213775
Bhayandar,Mira Road,19.1878962,72.8365955
Bhayandar,Uttaran,19.0563,72.8522
Bhayandar,Kashimira,19.3194549,72.8972413
Bandra,Bandra Kurla Complex,19.067115,72.8657245
Bandra,Bandstand Promenade,19.0427179,72.8191316
Bandra,Gandhi Nagar,19.05804,72.8472584
Bandra,Kherwadi,19.0612177,72.8448733
Bandra,Land's End,19.0452939,72.820183
Bandra,Pali Hill,19.0649126,72.8270326
Bandra,Old Town,5.4168728,100.3400144
Bandra,Bandra Reclamation,19.0510603,72.8330532
Goregaon,Aarey Milk Colony,19.1561292,72.8707223
Goregaon,Motilal Nagar,19.1589951,72.84019708
Goregaon,Bangur Nagar,19.1688142,72.8336777
Goregaon,Gokuldham,19.1738527,72.8670935
Goregaon,Jayprakash Nagar,19.1633383,72.85414418
Goregaon,Pandurangwadi,,
Goregaon,NESCO colony,,
Jogeshwari,Jogeshwari West,19.136394,72.8373817
Jogeshwari,Jogeshwari East,19.1369889,72.8649418
Kandivali west,Charkop,19.2141193,72.8258652
Kandivali west,Poisar,19.2132196,72.8466024
Kandivali west,Hindustan Naka,19.2077072,72.8295038
Kandivali west,Mahavir Nagar,19.2143002,72.8375468
Kandivali east,Samta nagar,19.9848234,73.7827353
Kandivali east,Damu nagar,19.1980883,72.8807684
Kandivali east,Thakur complex,19.1353511,72.81736277
Kandivali east,Thakur village,19.2097189,72.8759248
Kandivali east,Lokandwala township,,
Kandivali east,Akurli road,19.2002735,72.876951
Kandivali east,Janupada,,
Kandivali east,Hanuman nagar,19.0080072,72.8236164
Khar,Pali Naka,19.0627851,72.8293905
Khar,Khar Danda,19.07677855,72.82503089
Malad,Dindoshi,19.1740198,72.8695219
Malad,Sunder Nagar,19.173,72.8415
Malad,Pathanwadi,19.1795154,72.8623967
Malad,Rani Sati Marg,19.1837663,72.8495381
Malad,Malvani,19.1982684,72.8093427
Santacruz,Kalina,19.079273,72.8612672
Santacruz,Vakola,19.0813635,72.853893
Vasai,Naigaon,19.0095393,72.8478709
Vasai,Nalasopara,,
Vile Parle,Irla,19.1205474,72.8208429
Bhandup,Shivaji Talav,,
Bhandup,Hanuman Nagar,19.0080072,72.8236164
Bhandup,Pratap Nagar,19.1400289,72.924671
Bhandup,Maharastra Nagar,19.13748585,72.81398951
Bhandup,JAmil NAgar,19.1433206,72.9251908
Bhandup,Utkarsh Nagar,19.22328125,72.85443696
Bhandup,samarth NAgar,19.05203355,72.8698241
Bhandup,Sahyadri NAgar,19.037232,72.906763
Bhandup,Sarvoday NAgar,19.1507737,72.9309976
Ghatkopar,Amrut Nagar,19.1008449,72.9118196
Ghatkopar,Asalfa,,
Ghatkopar,Garodia Nagar,19.0742044,72.909477
Ghatkopar,Jagdusha Nagar,19.0949344,72.9088515
Ghatkopar,Pant Nagar,19.0868209,72.9156026
Kurla,Nehru Nagar,19.0010485,72.8194265
Mulund,Nahur,19.1543618,72.9464735
Powai,Chandivali,19.1091482,72.8945793
Powai,Hiranandani Gardens,19.1192046,72.90727434
Powai,Indian Institute of Technology Bombay campus,,
Vikhroli,Gandhi Nagar,19.05804,72.8472584
Vikhroli,Kannamwar Nagar,19.1168383,72.9401198
Vikhroli,Vikhroli Park Site,19.1043707,72.9140097
Chembur,Chembur Causeway,,
Chembur,Dayanand Saraswati Marg,19.0530444,72.9008962
Chembur,P L Lokhande Marg,19.0615953,72.917312
Chembur,Thakkar Bappa Colony,19.06020445,72.88809867
Govandi,Deonar,19.0475502,72.9051895
Trombay,Mahul,19.0141778,72.8972339
Antop Hill,C.G.S. colony,,
Byculla,Dagdi Chawl,,
Byculla,Ghodapdeo,18.9822196,72.840654
Colaba,Navy Nagar,18.9097659,72.8098311
Dadar,Hindu colony,19.0199623,72.8478929
Dadar,Parsi Colony,19.0425635,72.8427072
Fort,Ballard Estate,18.9366512,72.8391325
Girgaon,Khotachiwadi,,
Kalbadevi,Chira Bazaar,,
Kalbadevi,Fanas Wadi,18.9515935,72.8256965
Kamathipura,Chor Bazaar,18.9593519,72.829914
Parel,Lalbaug,18.9914237,72.8364587
Tardeo,Gowalia Tank,18.962095,72.81009812
