,Pincode Details,Pincode Details.1,Pincode Details.2,Pincode Details.3
0,Location,Pincode,State,District
1,A I staff colony,400029,Maharashtra,Mumbai
2,Aareymilk Colony,400065,Maharashtra,Mumbai
3,Agripada,400011,Maharashtra,Mumbai
4,Airport,400099,Maharashtra,Mumbai
5,Ambewadi,400004,Maharashtra,Mumbai
6,Andheri,400053,Maharashtra,Mumbai
7,Andheri East,400069,Maharashtra,Mumbai
8,Andheri Railway station,400058,Maharashtra,Mumbai
9,Antop Hill,400037,Maharashtra,Mumbai
10,Asvini,400005,Maharashtra,Mumbai
11,Azad Nagar,400053,Maharashtra,Mumbai
12,B P t colony,400003,Maharashtra,Mumbai
13,B.N. bhavan,400051,Maharashtra,Mumbai
14,B.P.lane,400003,Maharashtra,Mumbai
15,Bandra West,400050,Maharashtra,Mumbai
16,Bandra(east),400051,Maharashtra,Mumbai
17,Bangur Nagar,400090,Maharashtra,Mumbai
18,Bazargate,400001,Maharashtra,Mumbai
19,Best Staff colony,400012,Maharashtra,Mumbai
20,Bharat Nagar,400007,Maharashtra,Mumbai
21,Bhawani Shankar,400028,Maharashtra,Mumbai
22,Bhawani Shankar rd,400028,Maharashtra,Mumbai
23,Borivali,400091,Maharashtra,Mumbai
24,Borivali East,400066,Maharashtra,Mumbai
25,Borvali West,400092,Maharashtra,Mumbai
26,C G s colony,400013,Maharashtra,Mumbai
27,Central Building,400020,Maharashtra,Mumbai
28,Century Mill,400030,Maharashtra,Mumbai
29,Chakala Midc,400093,Maharashtra,Mumbai
30,Chamarbaug,400012,Maharashtra,Mumbai
31,Charkop,400067,Maharashtra,Mumbai
32,Charni Road,400004,Maharashtra,Mumbai
33,Chaupati,400004,Maharashtra,Mumbai
34,Chinchbunder,400009,Maharashtra,Mumbai
35,Chinchpokli,400011,Maharashtra,Mumbai
36,Churchgate,400020,Maharashtra,Mumbai
37,Colaba,400005,Maharashtra,Mumbai
38,Cotton Exchange,400033,Maharashtra,Mumbai
39,Cumballa Hill,400026,Maharashtra,Mumbai
40,Cumballa Sea face,400026,Maharashtra,Mumbai
41,Dadar,400014,Maharashtra,Mumbai
42,Dadar Colony,400014,Maharashtra,Mumbai
43,Dahisar,400068,Maharashtra,Mumbai
