Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Amboli,19.1279315,72.8477355,Cafe Arfa,19.12893009094341,72.84714004510111,Indian Restaurant
Amboli,19.1279315,72.8477355,Narayan Sandwich,19.121397691078766,72.85027035501028,Sandwich Place
Amboli,19.1279315,72.8477355,Merwans Cake shop,19.119300215885474,72.84541776016009,Bakery
Amboli,19.1279315,72.8477355,"5 Spice , Bandra",19.130421080343595,72.84720633881638,Chinese Restaurant
Amboli,19.1279315,72.8477355,Shawarma Factory,19.124590572173467,72.8403981304492,Falafel Restaurant
Amboli,19.1279315,72.8477355,Domino's Pizza,19.131,72.848,Pizza Place
Amboli,19.1279315,72.8477355,Subway,19.1278600430168,72.84446095143547,Sandwich Place
Amboli,19.1279315,72.8477355,Sarvodaya Veg. Restaurant,19.12375959553322,72.85089307715918,Indian Restaurant
Amboli,19.1279315,72.8477355,McDonald's,19.119691210789103,72.84610244862697,Fast Food Restaurant
Amboli,19.1279315,72.8477355,Cafe Coffee Day,19.127748138225197,72.84466295105099,Coffee Shop
Amboli,19.1279315,72.8477355,Bostan Restaurant,19.135898272834073,72.84758136170433,Asian Restaurant
Amboli,19.1279315,72.8477355,Aditi Fast Food,19.119398684058233,72.84594856552152,Food Court
Amboli,19.1279315,72.8477355,New Kohinoor Bakery,19.129815725282747,72.85474707242797,Bakery
Amboli,19.1279315,72.8477355,Gundavli Bus Stop,19.127892547213637,72.85523747162826,Bus Station
Amboli,19.1279315,72.8477355,Canon Master Service Center,19.126816564711188,72.85531247377149,Camera Store
Amboli,19.1279315,72.8477355,Ismail college. Jogging area,19.131361465689803,72.85485092175313,Athletics & Sports
Amboli,19.1279315,72.8477355,Triumph motorcycles,19.131689289544248,72.85518554705398,Bike Rental / Bike Share
Amboli,19.1279315,72.8477355,Havmor Ice-cream Parlor,19.120044094602992,72.85160387846267,Ice Cream Shop
Chakala,19.115287300000002,72.8618085,Courtyard Mumbai International Airport,19.1141672,72.8641313,Hotel
Chakala,19.115287300000002,72.8618085,Gajalee Coastal Food Annexure,19.117567194128657,72.86748485224203,Seafood Restaurant
Chakala,19.115287300000002,72.8618085,Sai Palace Hotel,19.115372776619047,72.8605712200513,Hotel
Chakala,19.115287300000002,72.8618085,Faaso's,19.113938442040993,72.86232968704125,Fast Food Restaurant
Chakala,19.115287300000002,72.8618085,Maharaja Restaurant,19.116154809545993,72.85581626501495,Indian Restaurant
Chakala,19.115287300000002,72.8618085,Spirit Kitchen and Bar,19.11125788546854,72.86982004017375,Indian Restaurant
Chakala,19.115287300000002,72.8618085,Gulati Sweets and Snacks,19.123231,72.864335,Indian Restaurant
Chakala,19.115287300000002,72.8618085,Pizza Hut,19.112927868699387,72.86443418302402,Pizza Place
Chakala,19.115287300000002,72.8618085,Hotel Tunga International,19.117857580329467,72.86515943512828,Hotel
Chakala,19.115287300000002,72.8618085,Cafe Coffee Day,19.112272267401284,72.86110550627025,Café
Chakala,19.115287300000002,72.8618085,NH1 Kitchen and Bar,19.1113345026096,72.85863942166638,Cocktail Bar
Chakala,19.115287300000002,72.8618085,Hit & Run,19.107787469190956,72.86333266520172,Falafel Restaurant
Chakala,19.115287300000002,72.8618085,Domino's Pizza,19.112,72.867,Pizza Place
Chakala,19.115287300000002,72.8618085,China Gate,19.11859711445652,72.86988816192876,Asian Restaurant
Chakala,19.115287300000002,72.8618085,Somethings Fishy Level 1,19.117869067878974,72.86513899619112,Seafood Restaurant
Chakala,19.115287300000002,72.8618085,MoMo Cafe,19.11368176337387,72.86411674564665,Restaurant
Chakala,19.115287300000002,72.8618085,Bisleri Chaatwala,19.110538098443268,72.85406051188238,Food Truck
Chakala,19.115287300000002,72.8618085,Ganesh Palace Restaurant,19.119313256630917,72.86359770759731,Indian Restaurant
Chakala,19.115287300000002,72.8618085,McDonald's,19.12311742339086,72.86422849748327,Fast Food Restaurant
Chakala,19.115287300000002,72.8618085,Caravan Serai,19.118810756285704,72.87009984669132,Diner
Chakala,19.115287300000002,72.8618085,Buckets And Tuckets,19.114375753655438,72.8616298787184,Fast Food Restaurant
Chakala,19.115287300000002,72.8618085,Big Cinemas,19.112661639462562,72.85912024440914,Multiplex
Chakala,19.115287300000002,72.8618085,Shree,19.112256197260013,72.8611131409699,Restaurant
Chakala,19.115287300000002,72.8618085,The Mirador Mumbai,19.11146199640433,72.86066732390752,Asian Restaurant
Chakala,19.115287300000002,72.8618085,Red box Cafe,19.11867169633385,72.86998080717008,Diner
Chakala,19.115287300000002,72.8618085,Nagpal Fish n Fry,19.10785995351046,72.86331215176456,Seafood Restaurant
Chakala,19.115287300000002,72.8618085,Gopal Krishna Veg. Restaurant,19.111768365794262,72.86773023694177,Vegetarian / Vegan Restaurant
Chakala,19.115287300000002,72.8618085,Bon Bon Supermarket JB Nagar,19.11090498100229,72.86681757577537,Department Store
Chakala,19.115287300000002,72.8618085,Landmark,19.116543216720547,72.85563454152596,Shopping Mall
Chakala,19.115287300000002,72.8618085,Hare Rama Hare Krishna,19.115644148110952,72.85701795713408,Indian Restaurant
Chakala,19.115287300000002,72.8618085,Canon India Pvt. Ltd.,19.116400070471503,72.85504308726121,Camera Store
Chakala,19.115287300000002,72.8618085,Kohinoor Continental,19.112325414617082,72.86794283329434,Hotel
Chakala,19.115287300000002,72.8618085,Sangam BIG Cinemas,19.112427116974573,72.86491627091543,Multiplex
Chakala,19.115287300000002,72.8618085,Burgs,19.112473368052136,72.8662509993865,Burger Joint
Chakala,19.115287300000002,72.8618085,Regency,19.11381682204743,72.85281826610498,Chinese Restaurant
Chakala,19.115287300000002,72.8618085,Cafe Coffee Day,19.10691087388167,72.86401581009459,Café
Chakala,19.115287300000002,72.8618085,Domino's Pizza,19.123220392242498,72.86420294804503,Pizza Place
Chakala,19.115287300000002,72.8618085,Box8,19.123612260761174,72.86420871723381,Indian Restaurant
Chakala,19.115287300000002,72.8618085,Above & Beyond,19.123822,72.864137,Bistro
D.N. Nagar,19.12829205,72.83019336,Joey's Pizza,19.126762155150107,72.83000121236746,Pizza Place
D.N. Nagar,19.12829205,72.83019336,Pishu's  Juice Center,19.128122133844734,72.82538392218632,Juice Bar
D.N. Nagar,19.12829205,72.83019336,Tirumala Store,19.12881610452249,72.82761917972147,Women's Store
D.N. Nagar,19.12829205,72.83019336,Manish Nagar,19.127750202335694,72.82759472143277,Residential Building (Apartment / Condo)
D.N. Nagar,19.12829205,72.83019336,Pizza Express,19.131893498780688,72.83466849836763,Pizza Place
D.N. Nagar,19.12829205,72.83019336,015's Café,19.1342081469728,72.82610027343061,Comfort Food Restaurant
D.N. Nagar,19.12829205,72.83019336,Poptates,19.130263524425686,72.83324930673741,Pub
D.N. Nagar,19.12829205,72.83019336,Indigo Delicatessen,19.1364504468811,72.82756504045669,Mediterranean Restaurant
D.N. Nagar,19.12829205,72.83019336,Doolally Taproom,19.13591735538127,72.83309403406167,Brewery
D.N. Nagar,19.12829205,72.83019336,Bistro 1 Cafe,19.136656435439225,72.82913638330596,Café
D.N. Nagar,19.12829205,72.83019336,Cinepolis (Fun Cinemas),19.13516689575096,72.83302036586855,Multiplex
D.N. Nagar,19.12829205,72.83019336,Living Liquidz,19.130882322205604,72.83121169282803,Liquor Store
D.N. Nagar,19.12829205,72.83019336,Urban Tadka,19.12701051542414,72.82183256427811,Indian Restaurant
D.N. Nagar,19.12829205,72.83019336,Some Like It Hot,19.134184319355917,72.82622144523094,Pub
D.N. Nagar,19.12829205,72.83019336,Banana Leaf,19.12515498243111,72.82258041206991,Vegetarian / Vegan Restaurant
D.N. Nagar,19.12829205,72.83019336,015's Cafe,19.136214374842346,72.82723120789565,Lounge
D.N. Nagar,19.12829205,72.83019336,Pishu's,19.136251794128736,72.82889762827182,Juice Bar
D.N. Nagar,19.12829205,72.83019336,48 fitness,19.13091781685097,72.83128609936776,Gym / Fitness Center
D.N. Nagar,19.12829205,72.83019336,Di Bella,19.125454233244547,72.8223460003714,Café
D.N. Nagar,19.12829205,72.83019336,Pop Tate's,19.130165603561885,72.8216468975908,Pub
D.N. Nagar,19.12829205,72.83019336,Road House Bluez,19.127250638007126,72.83604481603547,Pub
D.N. Nagar,19.12829205,72.83019336,Lotus Court,19.135900764628452,72.83013273267079,Bar
D.N. Nagar,19.12829205,72.83019336,Barbeque Nation,19.136210861270595,72.83345280721782,BBQ Joint
D.N. Nagar,19.12829205,72.83019336,KFC,19.13526761679155,72.83293660965955,Fast Food Restaurant
D.N. Nagar,19.12829205,72.83019336,Mad Over Donuts,19.125533442429646,72.82228098165848,Donut Shop
D.N. Nagar,19.12829205,72.83019336,Fun Republic Social,19.135174076031458,72.83276778035169,Bar
D.N. Nagar,19.12829205,72.83019336,Debonairs Pizza,19.12555705959572,72.82244078771572,Pizza Place
D.N. Nagar,19.12829205,72.83019336,Shabri Veg Restaurant,19.13615756813534,72.8271702616078,Indian Restaurant
D.N. Nagar,19.12829205,72.83019336,Levo,19.133068794476706,72.82303951151091,Italian Restaurant
D.N. Nagar,19.12829205,72.83019336,Indigo Deli,19.13642952061536,72.82755288854011,Italian Restaurant
D.N. Nagar,19.12829205,72.83019336,Take It Easy,19.1309438357968,72.8317491233986,Lounge
D.N. Nagar,19.12829205,72.83019336,Garden Court,19.127188369589465,72.83747791351865,Indian Restaurant
D.N. Nagar,19.12829205,72.83019336,O15's Cafe,19.134230809821272,72.82604343299487,Lounge
D.N. Nagar,19.12829205,72.83019336,Jughead's,19.13191641749765,72.83515046595967,Pub
D.N. Nagar,19.12829205,72.83019336,Four Bungalows Fish market,19.12673513621366,72.8251597474126,Fish Market
D.N. Nagar,19.12829205,72.83019336,Honey Hut,19.129420709831354,72.82200347719848,Café
D.N. Nagar,19.12829205,72.83019336,vedge,19.13511369891973,72.83287806467351,Diner
D.N. Nagar,19.12829205,72.83019336,Shetty's Corner,19.124845254018496,72.8378578890961,Chinese Restaurant
D.N. Nagar,19.12829205,72.83019336,Agent Jacks,19.131855042795923,72.83552355877262,Bar
D.N. Nagar,19.12829205,72.83019336,Courtyard Restaurant & Bar,19.13169172480515,72.8372690106853,Asian Restaurant
D.N. Nagar,19.12829205,72.83019336,SODA Bar & Grill,19.13450021872268,72.82548459416329,Bar
D.N. Nagar,19.12829205,72.83019336,Jaffer Bhai's Delhi Durbar,19.13622849912918,72.82847688862608,Indian Restaurant
D.N. Nagar,19.12829205,72.83019336,Bora Bora,19.136949356619738,72.83253772336471,Pub
D.N. Nagar,19.12829205,72.83019336,Apple Store,19.134639176845717,72.83201232191202,Electronics Store
D.N. Nagar,19.12829205,72.83019336,Andheri Sports Complex,19.128383864783174,72.83629003462886,Athletics & Sports
D.N. Nagar,19.12829205,72.83019336,Clothes Rack,19.135697056186928,72.82746443968983,Clothing Store
D.N. Nagar,19.12829205,72.83019336,Pop Tate's,19.1301223655262,72.8215886702519,Pub
D.N. Nagar,19.12829205,72.83019336,Kamal Chhaya Bar,19.12824493124868,72.83760976887247,Bar
D.N. Nagar,19.12829205,72.83019336,Cafe Coffee Day,19.12847757961178,72.82075921254956,Coffee Shop
D.N. Nagar,19.12829205,72.83019336,Cafe Coffee Day,19.132089194564248,72.83255382453117,Coffee Shop
D.N. Nagar,19.12829205,72.83019336,Fun Cinemas,19.135206876629297,72.83289849544738,Multiplex
D.N. Nagar,19.12829205,72.83019336,Raj Palace Bar and Restaurant,19.12718805257064,72.83565828906828,Bar
D.N. Nagar,19.12829205,72.83019336,cafe coffee day,19.13122125369056,72.82424926757812,Coffee Shop
D.N. Nagar,19.12829205,72.83019336,Mirabella Bar & Kitchen,19.134143854690404,72.83686673936081,Cocktail Bar
D.N. Nagar,19.12829205,72.83019336,# Tag Café,19.134434849760225,72.82559827533174,Lounge
D.N. Nagar,19.12829205,72.83019336,Cafe Coffee Day,19.130092296091032,72.83765944724641,Coffee Shop
D.N. Nagar,19.12829205,72.83019336,Andheri sports complex,19.129168240752634,72.83562650141774,Bowling Alley
D.N. Nagar,19.12829205,72.83019336,Shree Ganeshji Iyengers,19.130070369882922,72.83767715756139,Snack Place
D.N. Nagar,19.12829205,72.83019336,Unicorn Infosolutions Pvt Ltd.,19.13488578330954,72.83212653052551,Electronics Store
D.N. Nagar,19.12829205,72.83019336,Northern Tadka,19.131929033909348,72.83494834041893,Indian Restaurant
D.N. Nagar,19.12829205,72.83019336,The Club,19.12154882566184,72.83193204888225,Gym / Fitness Center
D.N. Nagar,19.12829205,72.83019336,Drunken Munkey,19.13067225353994,72.83751881642586,Bar
D.N. Nagar,19.12829205,72.83019336,Vrindavan Veg Restaurant,19.124921963944033,72.83803915105898,Vegetarian / Vegan Restaurant
